BOTTLE,20020821WHPSIOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 21, 2002
#original HYD file: a16chy.txt   Wed Aug 21 13:32:50 2002
#original SUM file: a16csu.txt   Sun Sep 16 23:17:58 2001
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,THETA
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UATM,,DEG_C,DEG C
   318MHYDROS4,  A16C,   311,  1,     28,     28,2,19890315,0245,-35.0650, -51.7067, 1801,    496.3,  12.3272,  35.1268,2,  35.1340,2,    204.9,2,     4.59,2,    10.85,2,     0.00,2,     0.87,2, -999.000,9, -999.000,9,   -999.9,9,   -999.9,9, -999.90, 12.2604
   318MHYDROS4,  A16C,   311,  1,     29,     29,2,19890315,0245,-35.0650, -51.7067, 1801,    646.5,   8.0098,  34.6017,2,  34.6020,2,    200.9,2,    12.12,2,    22.58,2,     0.00,2,     1.57,2,    0.981,2,    0.486,2,   2148.6,2,    744.1,2,   20.00,  7.9429
   318MHYDROS4,  A16C,   311,  1,     30,     30,2,19890315,0245,-35.0650, -51.7067, 1801,    798.2,   5.3472,  34.3273,2,  34.3280,2,    234.4,2,    16.03,2,    26.10,2,     0.00,2,     1.81,2,    1.489,6,    0.713,6,   2153.4,2,    781.5,2,   20.00,  5.2800
   318MHYDROS4,  A16C,   311,  1,     31,     31,2,19890315,0245,-35.0650, -51.7067, 1801,    950.7,   4.1674,  34.2759,2,  34.2760,2,    234.8,2,    23.76,2,    29.04,2,     0.00,2,     2.00,2,    1.162,2,    0.560,2,   2167.6,2,    860.6,2,   20.00,  4.0950
   318MHYDROS4,  A16C,   311,  1,     32,     32,2,19890315,0245,-35.0650, -51.7067, 1801,   1099.9,   3.5182,  34.2908,2,  34.2900,2,    224.3,2,    33.24,2,    30.99,2,     0.00,2,     2.16,2,    0.806,2,    0.380,2,   -999.9,9,   -999.9,9, -999.90,  3.4386
   318MHYDROS4,  A16C,   311,  1,     33,     33,2,19890315,0245,-35.0650, -51.7067, 1801,   1246.3,   3.3462,  34.3916,2,  34.3910,2,    200.0,2,    44.09,2,    32.46,2,     0.00,2,     2.26,2,    0.197,2,    0.103,2,   2206.6,2,   -999.9,9, -999.90,  3.2561
   318MHYDROS4,  A16C,   311,  1,     34,     34,2,19890315,0245,-35.0650, -51.7067, 1801,   1495.2,   3.1652,  34.5280,2,  34.5280,2,    190.4,2,    51.42,2,    32.16,2,     0.00,2,     2.24,2,    0.068,2,    0.031,2,   2219.5,2,   1031.2,2,   20.00,  3.0560
   318MHYDROS4,  A16C,   311,  1,     35,     35,2,19890315,0245,-35.0650, -51.7067, 1801,   1700.6,   3.5105,  34.7500,2,  34.7510,2,    202.5,2,    40.56,2,    27.76,2,     0.00,2,     1.91,2,    0.014,2,    0.005,2,   -999.9,9,   -999.9,9, -999.90,  3.3786
   318MHYDROS4,  A16C,   311,  1,     36,     36,2,19890315,0245,-35.0650, -51.7067, 1801,   1819.2,   3.5999,  34.8934,2,  34.8940,2,    228.6,2,    29.51,2,    22.87,2,     0.00,2,     1.58,2,    0.007,6,    0.002,6,   2188.3,2,    798.9,2,   20.00,  3.4556
   318MHYDROS4,  A16C,   312,  1,     17,     17,2,19890315,0659,-35.1667, -51.4500, 2335,      1.3,  24.8730,  36.6973,2,  36.6980,2,    213.6,2,     1.46,2,     0.00,2,     0.00,2,     0.05,2,    1.639,2,    0.870,2,   2040.5,2,    293.9,2,   20.00, 24.8727
