BOTTLE,20020821WHPSIO
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20020821
#original HYD file: a16nhy.txt   Wed Aug 21 13:33:22 2002
#original SUM file: a16nsu.txt   Wed Aug 21 13:34:13 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,CTDOXY,OXYGEN,SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,THETA
,,,,,,,,,,,DBAR,IPTS-68,PSS-78,PSS-78,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,UMOL/KG,PMOL/KG,,PMOL/KG,,IPTS-68
     32OC202_1,  A16N,     4,  1,     11,     11,19880724,0317, 62.9883, -20.0117, 1237,    457.0,   6.8310,-999.0000,  35.1220,   -999.0,    265.1,  -999.00,  -999.00,  -999.00,  -999.00,    3.201,2,    1.702,2,  6.7870
     32OC202_1,  A16N,     4,  1,     12,     12,19880724,0317, 62.9883, -20.0117, 1237,    507.3,   6.6900,-999.0000,  35.1140,   -999.0,    263.8,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.6420
     32OC202_1,  A16N,     4,  1,     13,     13,19880724,0317, 62.9883, -20.0117, 1237,    558.0,   6.4720,-999.0000,  35.1030,   -999.0,    257.3,  -999.00,  -999.00,  -999.00,  -999.00,    2.870,2,    1.298,2,  6.4200
     32OC202_1,  A16N,     4,  1,     14,     14,19880724,0317, 62.9883, -20.0117, 1237,    608.4,   6.3240,-999.0000,  35.0930,   -999.0,    253.4,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  6.2680
     32OC202_1,  A16N,     4,  1,     15,     15,19880724,0317, 62.9883, -20.0117, 1237,    659.0,   6.0400,-999.0000,  35.0790,   -999.0,    253.4,  -999.00,  -999.00,  -999.00,  -999.00,    2.575,2,    1.146,2,  5.9810
     32OC202_1,  A16N,     4,  1,     16,     16,19880724,0317, 62.9883, -20.0117, 1237,    709.5,   5.7250,-999.0000,  35.0690,   -999.0,    259.9,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  5.6630
     32OC202_1,  A16N,     4,  1,     17,     17,19880724,0317, 62.9883, -20.0117, 1237,    810.3,   5.0180,  35.0050,-999.0000,   -999.0,    254.2,  -999.00,  -999.00,  -999.00,  -999.00,    2.155,2,    1.011,2,  4.9510
     32OC202_1,  A16N,     4,  1,     18,     18,19880724,0317, 62.9883, -20.0117, 1237,    911.6,   4.6680,-999.0000,  35.0020,   -999.0,    268.1,  -999.00,  -999.00,  -999.00,  -999.00,    2.408,2,    1.133,2,  4.5940
     32OC202_1,  A16N,     4,  1,     19,     19,19880724,0317, 62.9883, -20.0117, 1237,   1012.5,   4.5150,-999.0000,  35.0040,   -999.0,    272.9,  -999.00,  -999.00,  -999.00,  -999.00,    2.622,2,    1.156,2,  4.4330
     32OC202_1,  A16N,     4,  1,     20,     20,19880724,0317, 62.9883, -20.0117, 1237,   1063.3,   4.4750,-999.0000,  35.0000,   -999.0,    273.8,  -999.00,  -999.00,  -999.00,  -999.00,    2.565,2,    1.201,2,  4.3890
     32OC202_1,  A16N,     4,  1,     21,     21,19880724,0317, 62.9883, -20.0117, 1237,   1114.1,   4.4610,-999.0000,  35.0000,   -999.0,    274.6,  -999.00,  -999.00,  -999.00,  -999.00, -999.000,9, -999.000,9,  4.3710
     32OC202_1,  A16N,     4,  1,     22,     22,19880724,0317, 62.9883, -20.0117, 1237,   1164.7,   4.4460,-999.0000,  34.9990,   -999.0,    273.8,  -999.00,  -999.00,  -999.00,  -999.00,    2.607,2,    1.192,2,  4.3510
     32OC202_1,  A16N,     4,  1,     23,     23,19880724,0317, 62.9883, -20.0117, 1237,   1215.3,   4.4380,-999.0000,  35.0000,   -999.0,    275.1,  -999.00,  -999.00,  -999.00,  -999.00,    2.698,2,    1.253,2,  4.3390
